patient_id,Cycling.space.T.space.cells,Cytotoxic.space.T.space.cells,DC,Germinal.space.center.space.B.space.cells,Helper.space.T.space.cells,Macrophages,Memory.space.B.space.cells,Monocytes,Naive.space.B.space.cells,NK.space.cells,Plasma.space.cells,Regulatory.space.T.space.cells,Mast.space.cells
HNSCC_P1,0.015797788,0.038704581,0.127172196,0,0.29699842,0.063981043,0.066350711,0.087677725,0.000789889,0.022906793,0.092417062,0.187203791,0
HNSCC_P10,0.011687363,0.469685902,0.042366691,0,0.022644266,0.081811541,0.11541271,0.072315559,0.002191381,0.005843682,0.07596786,0.100073046,0
HNSCC_P11,0.007126782,0.187171793,0.090772693,0,0.234433608,0.096774194,0.067891973,0.09939985,0.001875469,0.090772693,0.01687922,0.106901725,0
HNSCC_P12,0.027498678,0.364886304,0.066102591,0,0.119513485,0.069804336,0.045478583,0.028556319,0.004759387,0.016393443,0.0433633,0.213643575,0
HNSCC_P13,0.007909605,0.180225989,0.040112994,0,0.107909605,0.370056497,0.021468927,0.063276836,0.001694915,0.023728814,0.010734463,0.172881356,0
HNSCC_P14,0.03060686,0.405804749,0.028496042,0.002638522,0.036939314,0.30817942,0.008443272,0.043271768,0.007915567,0.019525066,0.006860158,0.101319261,0
HNSCC_P15,0.006274957,0.144324016,0.059326868,0,0.19110097,0.232743868,0.049629207,0.054192812,0.003422704,0.035367941,0.005134056,0.218482601,0
HNSCC_P16,0.007760532,0.243348115,0.059312639,0,0.343957871,0.022450111,0.033259424,0.098392461,0.00443459,0.02383592,0.001662971,0.161585366,0
HNSCC_P17,0.013046314,0.287997391,0.062622309,0,0.287345075,0.021852577,0.021200261,0.037181996,0.001956947,0.052185258,0.002609263,0.212002609,0
HNSCC_P18,0.018932223,0.236274139,0.098068913,0.000378644,0.253313139,0.02801969,0.041272245,0.075728891,0.002650511,0.047709201,0.006058311,0.191594093,0
HNSCC_P19,0.017979452,0.321917808,0.037671233,0.082191781,0.213184932,0.007705479,0.061643836,0.004280822,0.071917808,0.012842466,0.024828767,0.143835616,0
HNSCC_P2,0.035964912,0.374122807,0.030263158,0,0.210964912,0.009649123,0.030263158,0.034210526,0.006140351,0.013596491,0.093421053,0.161403509,0
HNSCC_P20,0.005272408,0.090509666,0.012302285,0.028119508,0.148506151,0.008787346,0.141476274,0.001757469,0.032513181,0.006151142,0.119507909,0.405096661,0
HNSCC_P21,0.004312034,0.061936495,0.010976088,0.294786358,0.226185809,0.000784006,0.094472756,0.002352019,0.225401803,0.005096041,0.021560172,0.052136417,0
HNSCC_P22,0.00942623,0.068852459,0.01352459,0.104508197,0.368852459,0.007377049,0.140163934,0.006967213,0.176229508,0.017622951,0.02704918,0.05942623,0
HNSCC_P23,0.004862953,0.129973475,0.097701149,0,0.308134394,0.127763042,0.025198939,0.07648099,0.00132626,0.025198939,0.022988506,0.180371353,0
HNSCC_P24,0.009028728,0.092202462,0.019151847,0.016963064,0.421887825,0.016142271,0.118467852,0.010123119,0.18248974,0.003283174,0.009575923,0.100683995,0
HNSCC_P25,0.051302289,0.545645883,0.01578532,0,0.116285188,0.010260458,0.010523546,0.011312812,0.001841621,0.027624309,0.00973428,0.199684294,0
HNSCC_P26,0.038432171,0.559938916,0.056502927,0.001272588,0.098498346,0.02087045,0.042249936,0.038432171,0.002036142,0.016798167,0.000509035,0.12445915,0
HNSCC_P3,0.017857143,0.324579832,0.044117647,0,0.146708683,0.006652661,0.021008403,0.005602241,0.003151261,0.015056022,0.003151261,0.412114846,0
HNSCC_P4,0.007473842,0.422521176,0.025909317,0,0.239661186,0.079720977,0.063278525,0.05630294,0.02939711,0.046836074,0.002989537,0.025909317,0
HNSCC_P5,0.002320186,0.218097448,0.05800464,0,0.385150812,0.109048724,0.011600928,0.085846868,0,0.071925754,0.002320186,0.055684455,0
HNSCC_P6,0.005441354,0.039903265,0.027206771,0.055622733,0.292623942,0.067714631,0.221281741,0.029625151,0.158403869,0.013905683,0.024788392,0.063482467,0
HNSCC_P7,0.023063534,0.349434291,0.052219321,0,0.061792863,0.223237598,0.002610966,0.014360313,0.001740644,0.033942559,0.001740644,0.235857267,0
HNSCC_P8,0.005488474,0.03183315,0.030735456,0,0.200878156,0.497255763,0.006586169,0.133918771,0.003293085,0.035126235,0.003293085,0.051591658,0
HNSCC_P9,0.066260322,0.303578451,0.014549744,0,0.069996068,0.05367676,0.003932363,0.028116398,0.001179709,0.228863547,0.028706252,0.201140385,0
HNSCC2_P18,0,0.436611008,0.033189033,0,0.042053185,0.05112348,0.028447743,0.000206143,0.000206143,0.058338487,0.018346733,0.331478046,0
HNSCC2_P23,0,0.181455064,0.091583452,0,0.160057061,0.059343795,0.013409415,0.001426534,0.000285307,0.070756063,0.024821683,0.396861626,0
HNSCC2_P24,0,0.14832794,0.154800431,0,0.095469256,0.303667745,0.005124056,0.008899676,0.000269687,0.033710895,0.024541532,0.225188781,0
HNSCC2_P29,0,0.525467204,0.019421033,0,0.068889703,0.014290949,0.05349945,0,0.000366435,0.066691096,0.030780506,0.220593624,0
HNSCC2_P32,0,0.10739726,0.103287671,0,0.027945205,0.234794521,0.066575342,0.003287671,0.004657534,0.056438356,0.143287671,0.252328767,0