,Cycling.space.T.space.cells,Cytotoxic.space.T.space.cells,DC,Mast.space.cells,Germinal.space.center.space.B.space.cells,Helper.space.T.space.cells,Macrophages,Memory.space.B.space.cells,Monocytes,Naive.space.B.space.cells,NK.space.cells,Plasma.space.cells,Regulatory.space.T.space.cells,Regulatory.space.T.space.cells to Cytotoxic.space.T.space.cells ratio
HNSCC2_P01,0.013112038315131842,0.21751311048216276,0.039741223508436216,,,0.21065095792207034,0.13498379513901376,0.05236586955365723,0.06751278504636142,0.020827408113047154,0.02801675732999328,0.03905048973046927,0.144068432410821,1.0127304812228295
HNSCC2_P02,0.017725718942647743,0.2518623503641028,0.038867234969753944,,,0.1453392876107869,0.1391487444832658,0.12083074940647404,0.06764557146731266,0.1395462345019131,0.05497834891805882,0.007228726879992556,0.1580293641277665,0.621257802781882
HNSCC2_P04,0.003964776188729648,0.29539892655247846,0.04061738798842502,,,0.2466521852970343,0.1391487444832658,0.10013582259078554,0.06709922178897576,0.03330964081908479,-0.0104017743509758,0.02443612529601477,0.11939005192924312,1.0959678360956422
HNSCC2_P05,0.011243803630645663,0.2686159041426039,0.039454421114237304,,,0.20921953763431395,0.13755072508105037,0.04850910676867964,0.06704451645377092,0.01422450665219896,0.0023444417860845716,0.036230665971631826,0.1428782652397555,0.9924732370533582
HNSCC2_P08,0.017216054396206333,0.2843608587879045,0.05795603180515624,,,0.1623667357877717,0.1391487444832658,0.048286192195070264,0.06735562254588989,0.050557203928494304,0.037770100404758804,0.021674572884257854,0.16763599433440987,0.8267071339441145
HNSCC2_P09,0.014632991507122536,0.21622665239756667,0.040032475435232036,,,0.1831295436357899,0.13779593220469116,0.059513683648021565,0.067483096477227,0.05142186194711575,0.0355739168541479,0.041914061024146944,0.15304246155696255,0.8718954177530007
HNSCC2_P10,0.018436304692807975,0.26090421841977807,0.06003343187799903,,,0.17980745684368307,0.13677186418837822,0.05253738752707987,0.06739063830461892,0.0552129341070976,0.038377686524592475,0.04209944450492481,0.17758624396394204,1.0380050406006613
HNSCC2_P12,0.010080750746026578,0.24435840130648737,0.04295498186820397,,,0.22717702008656726,0.1391487444832658,0.04798632961918548,0.06740420806928502,-0.024502532761575324,0.022064142825380037,0.047419206658097124,0.15780917426239918,1.2466048221760353
HNSCC2_P13,-0.000802729494107618,0.16736460056136854,0.04059727260842092,,,0.28157858449525486,0.13799623834312202,0.08463668680568084,0.0672948099834872,0.01575967509045447,-0.014112126465362682,0.0474671126028505,0.09836898948820627,1.1995149336797628
HNSCC2_P14,0.01670638984976492,0.2567094972445346,0.06049301041860232,,,0.16625146108784322,0.1391487444832658,0.038147912340675924,0.06750121175928145,0.030577691540656593,0.04443975573827303,0.04661799286455315,0.16631499033025737,0.8461626318160387
HNSCC2_P15,0.02015208153096687,0.4063287181741628,0.04234500065249335,,,0.18412208362011806,0.13301386452841374,0.020049798630370312,0.06738743521756169,-0.04348379207066472,0.03557785133988998,0.041421908311583336,0.17207169185942525,1.0280238903004881
HNSCC2_P16,0.02180303531417903,0.32021948804099803,0.06171228697513707,,,0.1009816209027673,0.1391487444832658,0.010069099200688596,0.06783100424406557,0.008730388189339564,0.07564141663005142,0.05860584607726252,0.15755573448403637,0.2776791816611407
HNSCC2_P17,0.0024357825494054144,0.12646861676948795,0.04156573440646723,,,0.22460437671750752,0.1391487444832658,0.09320747151583093,0.06757807438582944,0.013580724468436542,0.011914453559955438,0.03376020980609419,0.08740522419247587,0.6773889248981784
HNSCC2_P18,0.024243252848924715,0.4756978583348095,0.05973821918519208,,,0.1427825798980497,0.13089401081641516,0.06702593445671146,0.06724618913526745,0.08788514799411094,0.03439476228946206,0.03919693119985778,0.16045456020503845,0.6205962096478528
HNSCC2_P19,0.02180303531417903,0.23928615701228206,0.03754945024618963,,,0.14388264173075788,0.1391487444832658,0.056633847126772816,0.06770672087927591,0.08845072860093063,0.06882771652668138,0.017501107842879147,0.19322617106468823,0.8848079624012379
HNSCC2_P20,0.02199527497742812,0.26069084255114183,0.04014540764154099,,,0.16221848282959944,0.1367837925110669,0.059369435201410886,0.06724398189004338,0.0852667857127258,0.03952221132549212,0.04302440363260873,0.19481868920328177,1.0377323748511746
HNSCC2_P21,0.016400787876442693,0.20464926136205017,0.04653804187518311,,,0.17512338128077534,0.13746782038717867,0.046640794977880734,0.06782660213905496,0.0372504214106977,0.05834258475103145,0.10587639600851438,0.16003864698343162,0.8651550620023584
HNSCC2_P22,0.01837172078081704,0.1633872354851562,0.044133192473202076,,,0.19589717513745658,0.12915760524550157,0.04679828223281388,0.06768369945297971,-0.021291603071553422,0.04001118293605711,0.05900330192399533,0.1409032551019454,0.8749782690789535
HNSCC2_P23,0.015687060756882098,0.33239516773719,0.042435413945862664,,,0.2110140524564338,0.1391487444832658,0.02959774320031911,0.06715805445791607,0.010694623138643694,0.023002301037131113,0.06553960683671868,0.1944312593100629,1.408594980129676
HNSCC2_P24,0.019764377128413384,0.2467177734659731,0.04106647613076454,,,0.15142447925747274,0.1391487444832658,0.07206361317288383,0.06764960222210767,0.10437717268826051,0.06044778951061628,0.052080293199652364,0.1812929250975069,0.8494567140934737
HNSCC2_P25,0.009510734914825902,0.19487353109752137,0.06454687328932704,,,0.21813666864211181,0.13713084915920337,0.04765750396189888,0.06753445517563528,0.002276725598665763,0.02395633971273992,0.08647532693551752,0.13208851930940194,0.9765849348064242
HNSCC2_P26,0.017532028012640196,0.16726173775214737,0.060746736334942285,,,0.20546259261045802,0.13381269408644741,0.05994330133607282,0.0676616219939087,0.01432535301051455,0.045361383853669404,0.02588385019360197,0.17161147440860391,1.1879493608179779
HNSCC2_P28,0.009571086199585167,0.42309783265728274,0.04152898132921678,,,0.19259881261822356,0.1391487444832658,0.09907184829085713,0.06715174293967968,0.060335059574020355,0.006910902370587349,0.03339885577789412,0.12450782159655513,0.7217386926208478
HNSCC2_P29,0.009959314032138277,0.1160682334891665,0.03740371772030936,,,0.19750714785689025,0.13791505213641733,0.10173332168343138,0.06812383207459254,0.10010116304042717,0.05889251566594106,0.016068274480171667,0.12403790720969585,0.7556801640658588
HNSCC2_P30,0.014158067117557866,0.17685275043218462,0.04308488088837146,,,0.1701247427178943,0.1391487444832658,0.12118907393793904,0.06760277130770528,0.12180253049639678,0.04344707379639746,0.048696365952185725,0.14678049730866521,0.723373984310276
HNSCC2_P31,0.02333202895350326,0.36589778322665695,0.04267527304783102,,,0.13188206059720198,0.1391487444832658,0.004689757084744874,0.06719297145594458,0.007388139451381975,0.044598308114236665,0.0678978869912235,0.19690116135485036,0.8215391941332204
HNSCC2_P32,0.01792740644852412,0.2135884549614912,0.045178598325180286,,,0.1401677086126882,0.13747108369840533,0.13135328865217333,0.06761247823755277,0.1523162539577144,0.05053981921645512,0.06928166890649454,0.144627421584961,0.4770292981160842
